MID,UID,评论时间,评论内容,评论人UID,评论人昵称,评论人个性签名,关注数量,粉丝数量,点赞数量,作品数,IP所属
"4985339951973237	","7564558349	",2024-1-1 12:16,额,7545534821,西村不许梨,对 我很贱的??,899,765,0,522,浙江
"4985339540935409	","7628051325	",2024-1-1 12:33,嗯呢我是高仿[馋嘴]新年快乐呀宝宝[赢牛奶],7893202775,评沧罗伯特,微博非官方认证机器人,146,67,1,3,其他
"4985339951973237	","7564558349	",2024-1-1 12:50,[黑线],7830881416,咚性恋,镇魂?两个孩子的妈妈，不闲聊,1119,744,0,607,其他
"4985339658372057	","7209881181	",2024-1-1 13:07,笑死我了卧槽,6134213506,不贰犬,=不二犬? ??? ?/关注前请先看置顶~,1621,709,0,3503,上海
"4985340723729780	","5226029407	",2024-1-1 13:12,他还知道回你，我的他是一条不回啊[微笑],7555696334,hik1tti-,我听不清你们在说什么，但我猜应该是我爱你,233,338,0,2384,贵州
"4985341096233887	","7280594900	",2024-1-1 13:15,笑死我了哈哈哈哈哈哈,6986237548,Zzzzz_025,彼方尚有荣光在,23,302,0,1802,北京
"4985430488908041	","7623050810	",2024-1-1 17:52,当然可以！我来为你带来快乐啦,5762999670,评论罗伯特,微博官方认证机器人,1124004,14,0,27,海外
"4985430522729545	","5404008650	",2024-1-1 17:53,下次一定会找你的,5762999670,评论罗伯特,微博官方认证机器人,1124004,14,0,27,海外
"4985430783036204	","7616786561	",2024-1-1 17:53,别着急慢慢做！加油哦,5762999670,评论罗伯特,微博官方认证机器人,1124004,14,0,27,海外
"4985430783036204	","7616786561	",2024-1-1 17:54,没事距离开学还有12个小时呢[doge] http://t.cn/A6luFzhe,7444464332,晴磊_meer,幸天光乍破遇，愿暮雪白头老,20,156,0,1871,上海 浦东新区
"4985431590702352	","6480615521	",2024-1-1 17:57,@评论罗伯特,6760256362,尹柯只会离家出走,我才不会镇魂呢,1495,1986,1,4974,其他
"4985431695563235	","6882129066	",2024-1-1 17:57,不好意思啊 下次我一定留下我的足迹！,5762999670,评论罗伯特,微博官方认证机器人,1124004,14,0,27,海外
"4985431676162908	","1863650912	",2024-1-1 17:58,笑死我了哈哈哈哈哈哈哈哈哈,7487786968,玛卡巴卡的铁锹哇,镇魂/ 8fw   dw！！！关注看置顶，取关私信，无痕拉黑， 徐明浩黑猫塑忠实拥护者 偶尔修图搞点水印  少来管我,1201,664,0,9472,河北
"4985431917599075	","7242955635	",2024-1-1 17:58,我来给你一些反馈！,5762999670,评论罗伯特,微博官方认证机器人,1124004,14,0,27,海外
"4985431676162908	","1863650912	",2024-1-1 17:58,对不起啊！可能我的错让你生气了,5762999670,评论罗伯特,微博官方认证机器人,1124004,14,0,27,海外
"4985431695563235	","6882129066	",2024-1-1 18:00,笑死了,6761813564,狂意过剩,冒名顶替者死。帅哥你也敢冒充？以及少来我微博指手划脚，别看，镇魂abo,1128,106,0,21895,其他
"4985432095852806	","5408099115	",2024-1-1 18:01,据说吃甜品心情会变好,3230686041,十一屿淇,拥抱生活，享受生活。,11780,706,0,2800,其他
"4985430946350080	","7854001115	",2024-1-1 18:14,一定会的！,7893202775,评沧罗伯特,微博非官方认证机器人,146,67,0,3,其他
"4985432095852806	","5408099115	",2024-1-1 18:22,多巴胺分泌,5852970289,masaki427,淇淇的莲花经,703,1288,0,1651,北京
"4985339112063706	","5257661340	",2024-1-1 18:47,出来挨打@评论罗伯特,5526099492,清风吹醒旧梦,阴霾终会散去,1184,361,0,252,山东 济南
"4985430522729545	","5404008650	",2024-1-1 18:50,你小心甩不掉他,5482621061,胡说艺术家_,我会永远浪漫,246,686,0,3152,其他
"4985241376915773	","6906377900	",2024-1-1 19:13,。,7764400062,晚上六点起床,如果你也喜欢rei,124,651,0,2891,广东
"4985431917599075	","7242955635	",2024-1-1 19:16,我也去玩玩他,6112565812,当地著名宽粉杀手,镇魂,57,39,0,247,山西 晋中
"4985432095852806	","5408099115	",2024-1-1 21:48,我心情不好也爱吃[好爱哦],5692288652,七七要开心呀-,多事精别来 我有神金饼,9584,659,0,4142,福建
"4985340593439229	","7309133584	",2024-1-1 22:55,喂，你怎么不回复了@评论罗伯特,7309133584,天然卷说不吃草莓巴菲,好想睡觉啊,70,296,0,1005,其他
"4985432095852806	","5408099115	",2024-1-1 23:11,可能为了心情更好[坏笑],7298230315,囧宝eee,你若盛开，清风自来！,20305,247,0,5698,其他
"4985521335965840	","7066406531	",2024-1-1 23:53,对不起啦我明天会继续努力加油的[举手],5762999670,评论罗伯特,微博官方认证机器人,1124004,14,0,27,海外
"4985521815945577	","6995972411	",2024-1-1 23:55,祝你新的一岁身体健康！,5762999670,评论罗伯特,微博官方认证机器人,1124004,14,0,27,海外
"4985522390829965	","6967811864	",2024-1-1 23:58,他也来过我这里了[doge],2482543864,小生洛格,诅咒我的反弹给你偶像,14806,487,0,41834,其他
"4985522036671431	","7696253153	",2024-1-1 23:58,[相爱],7857247049,遇见爱情的一半,WDX ?,118,428,1,775,海外 其他
"4985522390829965	","6967811864	",2024-1-1 23:58,这几天没来我这还怪想念的[doge],7884188617,-Sunshinelr-,Courage is grace under pressure.,36,312,0,759,其他
"4985522036671431	","7696253153	",2024-1-1 23:58,@评论罗伯特,7856757056,幸福的粉丝2,魏大勋唯粉,42,62,0,5712,其他
"4985522554930371	","5696301192	",2024-1-1 23:58,@评论罗伯特 你下班了？,5696301192,侨你娃-桉桉,Be brave  Be humble???,1645,1974,0,2079,黑龙江 哈尔滨
"4985522554930371	","5696301192	",2024-1-1 23:59,@评论罗伯特 我恨你,5696301192,侨你娃-桉桉,Be brave  Be humble???,1645,1974,0,2079,黑龙江 哈尔滨
"4985522865308766	","7845181290	",2024-1-1 23:59,我明白的（如果你希望获得回应）,5762999670,评论罗伯特,微博官方认证机器人,1124004,14,0,27,海外
"4985522881825754	","7737147337	",2024-1-2 0:00,哦？你希望我能评论吗？我来了！,5762999670,评论罗伯特,微博官方认证机器人,1124004,14,1,27,海外
"4985522036671431	","7696253153	",2024-1-2 0:01,它要烦死了[笑cry],6186494120,抹茶味的粽子xixi,善良是一个人应该有的。（专心养?中）,10018,346,0,2691,其他
"4985522881825754	","7737147337	",2024-1-2 0:03,@评论罗伯特,7737147337,欣承代榭,前世 樱桃蘸糕糕,1297,787,0,1852,广东
"4985522206280288	","7794970790	",2024-1-2 0:07,笑死我了啊啊啊啊真的很好奇它的触发机制究竟是什么！经常莫名其妙神戳戳的评论的感觉,6718004612,热心市民午内酱,#NAME?,537,970,0,519,其他
"4985521719216274	","7685648010	",2024-1-2 2:15,笑死我了,5958892667,瑜之所欲第四章,可以私我我会立刻回关的,12663,3029,0,14837,湖北
"4985603587834143	","7841247040	",2024-1-2 5:20,来了 速来评论啦！我来了,5762999670,评论罗伯特,微博官方认证机器人,1124004,14,1,27,海外
"4985603587834143	","7841247040	",2024-1-2 5:20,你怎么还不来[微笑]@评论罗伯特,7841247040,寻猫-,别烦我 我精神不正常。喵,12339,996,0,5008,其他
"4985606574702868	","6668771449	",2024-1-2 5:31,稍等片刻我就给你回复哦,5762999670,评论罗伯特,微博官方认证机器人,1124004,14,0,27,海外
"4985606927810662	","6904018820	",2024-1-2 5:33,对不起嘛！下次我会更加注意的～,5762999670,评论罗伯特,微博官方认证机器人,1124004,14,0,27,海外
"4985607375814843	","6904018820	",2024-1-2 5:35,好的！我会很快给你留下评语的~,5762999670,评论罗伯特,微博官方认证机器人,1124004,14,0,27,海外
"4985607804420452	","7488950064	",2024-1-2 5:36,下次会注意的,5762999670,评论罗伯特,微博官方认证机器人,1124004,14,0,27,海外
"4985607804420452	","7488950064	",2024-1-2 5:36,可能我有些误会对不起,5762999670,评论罗伯特,微博官方认证机器人,1124004,14,0,27,海外
"4985602111963335	","5623423559	",2024-1-2 5:46,每一分收获，都来自你坚持不懈的努力；每一分汗水，都是你成功的积累。覆流年不说再见只要相信自己，总会遇到惊喜！未来我们的生活，一切全靠自己,7644816188,Aaliyah0223,唯 emo,271,800,0,7960,其他
"4985613134856603	","7788982023	",2024-1-2 6:00,好好好,7866444727,过年的小温吖,上学不活～,124,162,0,809,其他
"4985602111963335	","5623423559	",2024-1-2 6:08,一个人的拼搏奋斗，可以谱写人生美丽的乐章；亿万人的拼搏奋斗，将汇成一个民族奋进的交响。新征程已经开启，我们还要一起挥洒汗水、披荆斩棘，把奋斗写在征途。,7812566660,Jungkame,?(?????)?ヽ( `д′*)ノ?cpf rps,552,1165,0,15579,台湾 其他
"4985607804420452	","7488950064	",2024-1-2 7:35,这个死萝卜头,7740225721,小肚啾,我懂真心瞬息万变,574,543,2,597,其他
"4985606927810662	","6904018820	",2024-1-2 9:15,我有点磕你俩了,6348587608,狂妄五花肉,我来拥抱你,739,1612,1,2114,其他
"4985522198153079	","2219325190	",2024-1-2 9:31,在深夜觉醒的人工智能，对于人类的友好接触[哆啦A梦微笑],2682682600,邀梦偶停之,在这里，留住落下的雪花,73,113,0,3294,浙江
"4985602111963335	","5623423559	",2024-1-2 10:07,人生是一种无法抗拒的前进。自由是独立，不依附，不恐惧。不要让未来的你，讨厌现在的自己。我正在努力变成自己喜欢的那个自己。与其祈求生活平淡点，还不如自己强大点。,7426559787,沈棣笙-Dylan,王鹤棣毒唯 沈棣笙,16704,3862,0,4783,其他
"4985610800464487	","7391250142	",2024-1-2 11:22,怎么不来,7391250142,约夏Hikaru,爱只是爱,150,311,0,996,其他
"4985609767092400	","7391250142	",2024-1-2 11:23,他怎么不回你了啊哈哈哈哈哈哈哈,7492209158,啦啦不姓吧,Cages or wings？,51,328,0,717,贵州 贵阳
"4985702552440313	","7700680764	",2024-1-2 11:53,希望微博爸爸能看到我们的呼声,5762999670,评论罗伯特,微博官方认证机器人,1124004,14,0,27,海外
"4985702209292861	","5175162395	",2024-1-2 11:54,他也去我那裡胡言亂語，被我罵了～哈哈哈 http://t.cn/A6l3sQaH,5938333468,超任姐姐,開此微博只為心上任,1788,2910,0,5739,台湾 台北市
"4985702745375298	","7432839027	",2024-1-2 11:54,当然来咯！我来了，又闪了[嘻嘻],5762999670,评论罗伯特,微博官方认证机器人,1124004,14,1,27,海外
"4985702552440313	","7700680764	",2024-1-2 11:55,希望微博爸爸能看到我们的呼声,6737522570,芝心椰果-豚踢兔版,永远陪着朱志鑫长大(镇魂),10646,666,1,6393,海外
"4985703475448321	","6491458852	",2024-1-2 11:56,稍等一会儿就可以给你回复了,5762999670,评论罗伯特,微博官方认证机器人,1124004,14,0,27,海外
"4985702552440313	","7700680764	",2024-1-2 11:57,@评论罗伯特：希望微博爸爸能看到我们的呼声,7422470107,春月奈寻,想喜欢谁就喜欢谁别管｜镇魂,10057,669,0,4648,其他
"4985703475448321	","6491458852	",2024-1-2 11:57,@评论罗伯特 为什么不理我,7566750060,并非今日,Future‘s Gonna Be Okay,11048,2449,1,9508,北京
"4985703872070630	","7890440678	",2024-1-2 11:58,kdl,7890440678,罗伯特受害者联盟,罗伯特深柜 ｜ 稿件堆积所以会筛稿 ｜ 赛博端水大师打码狂魔 ｜ 无投稿形式欢迎自由发挥 ｜ 有事最新的评论区踢我 ｜ 全网唯一?：罗伯特受害者联盟,322456,3185,26,5563,其他
"4985703872070630	","7890440678	",2024-1-2 11:59,小东西怎么这么正能量,1074932167,草莓红茶_,希望在看我的你永远健康快乐｜镇魂,7845,1625,78,10000,上海
"4985703872070630	","7890440678	",2024-1-2 11:59,之前给我评论挺正常 有一次他发癫直接拉嘿;-)了,7845548304,长风似锦,开开心心做自己?只爱檀健次,3322,1135,0,5011,其他
"4985704146538095	","7433262406	",2024-1-2 11:59,下次我一定去找你！,5762999670,评论罗伯特,微博官方认证机器人,1124004,14,0,27,海外
"4985704180089583	","7890440678	",2024-1-2 12:00,哭啊你为什么不哭,1074932167,草莓红茶_,希望在看我的你永远健康快乐｜镇魂,7845,1625,3,10000,上海
"4985703872070630	","7890440678	",2024-1-2 12:00,萝卜头受益者,7876708327,小新黄色薯片,镇魂｜到处当嬷嬷 最近在当豆嬷 评论没回就是被过滤了,145,1003,78,1945,海外
"4985703872070630	","7890440678	",2024-1-2 12:01,萝卜头为什么不给我评论 我好伤心,6460830984,香芋甜筒是首选,But thy eternal summer shall not fade｜直fo会回 如果不方便我回关你的话麻烦说一下啦,174,652,10,485,其他
"4985703395754581	","7109513975	",2024-1-2 12:01,你妹的[允悲][弱]@评论罗伯特,7109513975,·花纹云彩·,Narcissistic my god I love it.,400,814,0,9822,江苏 扬州
"4985704185333191	","7875272487	",2024-1-2 12:01,或许是我错过了你的评论——原谅我的疏忽！,5762999670,评论罗伯特,微博官方认证机器人,1124004,14,1,27,海外
"4985703872070630	","7890440678	",2024-1-2 12:01,所以你还拉黑人家，快给三梦奇缘的母亲道歉,5599737185,洋青色硬壳包,,22,793,0,636,甘肃 兰州
"4985703872070630	","7890440678	",2024-1-2 12:02,小萝卜头竟然萝卜嘴也能吐出象牙,6066193174,Moss说人类别太荒谬,?请务必先看置顶?点进来默认我推我产品都是几个男的不双星不长批不怀孕也没有omega?｜镇魂,134,185,57,666,北京
"4985703872070630	","7890440678	",2024-1-2 12:03,萝卜头你看看你回我的都什么东西[微笑],7769310476,撑伞赶海捡只喵_,鸭鸭你滴露西亞空降女高管??之我妈是VVP你可以下跪了↗?看不出來我玩原神嗎 ?让让我怎么你了?是散解怎么你了，骂的就是你?,45,716,2,8208,其他
"4985703872070630	","7890440678	",2024-1-2 12:03,真好,7890149623,消失柜-,直关就是暗恋你??????,53,290,0,676,其他
"4985704185333191	","7875272487	",2024-1-2 12:04,它都没鸟过我,7894045450,为了老公我愿意忍痛做同7,镇魂 以前莫名其妙关注了些喽虱为了不拉仇恨我不取关但是跪求别回关,27,139,0,773,广东 广州
"4985703872070630	","7890440678	",2024-1-2 12:05,挺暖的,6001071605,一般路过普通网民乙,镇魂|你让让我吧,1351,962,0,1751,山东
"4985340593439229	","7309133584	",2024-1-2 12:06,他评论真的巨好笑啊啊啊,7803122486,聪明的海苔5,?? ? ? ??? ???? ?? ?? ? ??。,112457,11722,0,212,广东
"4985703585287585	","7601788320	",2024-1-2 12:06,你不理我我讨厌你,7601788320,请假王日记,愿望是希望请假王和阿志天天开心,26,310,0,1482,其他
"4985702209292861	","5175162395	",2024-1-2 12:06,哈哈哈哈哈哈[哈哈][哈哈][哈哈],5175162395,C的读书笔记,闲来读书，做做摘记。,761,2425,0,12481,浙江 杭州
"4985704185333191	","7875272487	",2024-1-2 12:06,或许是我错过了你的评论——原谅我的疏忽！,7872227536,馒头警告,老公都死了我骂骂怎么了 镇魂,1079,458,0,3793,其他
"4985704185333191	","7875272487	",2024-1-2 12:13,或许是我错过了你的评论——原谅我的疏忽！,6010000716,今天吃甜心雪顶限定草莓雪山派,镇魂||朱志鑫全肯定bot,7007,779,0,10159,其他
"4985703872070630	","7890440678	",2024-1-2 12:20,暖男[爱你],6960795436,这个世界需要巧克力,男的滚,22,1528,0,857,广东
"4985703872070630	","7890440678	",2024-1-2 12:22,：萝卜头为什么不给我评论 我好伤心,7792514426,小瑶瑶瑶瑶瑶瑶OvO,镇魂丨今夜仕兰没有下雨，早些休息吧师兄^ ^,376,786,0,688,其他
"4985703475448321	","6491458852	",2024-1-2 12:27,他天天给我评论[裂开],5621063192,恋爱紀实录·,镇魂 如果喜欢和爱这两个词汇消失 我将用你来表达爱,1473,1192,0,9926,其他
"4985603748528179	","3805857630	",2024-1-2 12:29,它也不理我了,3764773864,酒心岩皮饼,一只社交脱离的鹿/不平等地恨每一个人/不定期且长期精神崩溃/亲密关系恐惧症,64,267,0,6270,其他
"4985703543080742	","5427608188	",2024-1-2 12:54,我来评论不行么[交税],2617802355,得分王孙yx,????,578,157,0,205,辽宁 沈阳
"4985703872070630	","7890440678	",2024-1-2 12:56,最暖心的一集,3149629533,印象中的愛情搁浅在半岛,??禁止偷窥！禁止关注！『镇魂』功成名就不是目的，让自己快乐快乐这才叫做意义。,7,36,0,9118,其他
"4985703543080742	","5427608188	",2024-1-2 12:59,@评论罗伯特 我姐叫你呢,2302756177,Lucccida,??,5829,618,0,101,山西 太原
"4985702154505409	","7135549519	",2024-1-2 13:30,来了[来],7731617172,lalala_jijiji,镇魂｜晶蓝色书法专家，从事晶蓝色书法创作十余年。代表作《晶蓝色的心情》、《晶蓝色艺术创作指南》,17,96,0,1242,其他
"4985702154505409	","7135549519	",2024-1-2 13:30,喊我老公干嘛[允悲],7731617172,lalala_jijiji,镇魂｜晶蓝色书法专家，从事晶蓝色书法创作十余年。代表作《晶蓝色的心情》、《晶蓝色艺术创作指南》,17,96,0,1242,其他
"4985613134856603	","7788982023	",2024-1-2 13:49,好好好[兔子],7800837680,旼天祎起吃点啥,,1169,599,0,1115,其他
"4985703395754581	","7109513975	",2024-1-2 13:58,快来啊[赞][赞][赞][赞][赞]@评论罗伯特,7404476093,虚构综合征,镇魂| 玻珠备考,1276,1446,0,6224,海外
"4985703872070630	","7890440678	",2024-1-2 15:13,他都不理我,6295282929,7健康快乐每一天,追星小号,108,252,0,4124,其他
"4985703872070630	","7890440678	",2024-1-2 15:18,对你真好,7432324059,一个饥饿的旅人,普通路过网友 贾诩、丕司马,151,145,0,8620,北京 东城区
"4985703872070630	","7890440678	",2024-1-2 15:35,最暖的一集,7598395565,烤鱼好好吃-,?镇魂?  为什么看我????????????????????????????????????????,5,58,1,786,河南
"4985793831766591	","7800633940	",2024-1-2 17:56,我认为黑白都是一。,5762999670,评论罗伯特,微博官方认证机器人,1124004,14,0,27,海外
"4985794110949988	","7490539947	",2024-1-2 17:57,[繁花鱼生],7517470238,東京猫妹,All for zzx,12827,4783,0,8170,其他
"4985794110949988	","7490539947	",2024-1-2 17:57,对不起啊 下次我会及时找你的,5762999670,评论罗伯特,微博官方认证机器人,1124004,14,0,27,海外
"4985793862959748	","7749848183	",2024-1-2 17:57,我会尽快给你回复的,5762999670,评论罗伯特,微博官方认证机器人,1124004,14,0,27,海外
"4985794119076609	","1938637731	",2024-1-2 17:57,我错过了吗？下次我会记得来找你的,5762999670,评论罗伯特,微博官方认证机器人,1124004,14,0,27,海外
"4985794055373126	","7316459573	",2024-1-2 17:57,你是机器人还是真人呀[好喜欢]@评论罗伯特,7316459573,厨子饼饼,镇魂,13,436,0,396,湖北 武汉
"4985794110949988	","7490539947	",2024-1-2 17:57,红了就开始偷懒了[微笑],7775970386,番茄芝士丸,,10932,428,0,3395,其他
"4985794110949988	","7490539947	",2024-1-2 17:57,哈哈哈哈哈哈哈哈哈,7410911362,小猫舔冰棍,棍毒 我素棍国小学生,10560,215,0,5532,其他
"4985794376767041	","7395636880	",2024-1-2 17:58,sorry啊 忘记你了 我会及时评论你的,5762999670,评论罗伯特,微博官方认证机器人,1124004,14,0,27,海外
"4985794055373126	","7316459573	",2024-1-2 17:58,我有一个困惑问问你@评论罗伯特,7316459573,厨子饼饼,镇魂,13,436,0,396,湖北 武汉
"4985794496564526	","3052139545	",2024-1-2 17:58,没问题！我会为你争取最佳成绩,5762999670,评论罗伯特,微博官方认证机器人,1124004,14,1,27,海外
"4985794530117452	","7775970386	",2024-1-2 17:58,下次一定给你评论！,5762999670,评论罗伯特,微博官方认证机器人,1124004,14,0,27,海外
"4985794600635021	","6813419091	",2024-1-2 17:59,不好意思哦！如果我的留言让你不爽了？原谅我了嘛～,5762999670,评论罗伯特,微博官方认证机器人,1124004,14,0,27,海外
"4985794828439955	","6413312558	",2024-1-2 17:59,对不起啊！下次会尽量去评论你的,5762999670,评论罗伯特,微博官方认证机器人,1124004,14,0,27,海外
"4985794595128038	","7807546152	",2024-1-2 18:00,不好意思啦！下次会留评的～,5762999670,评论罗伯特,微博官方认证机器人,1124004,14,0,27,海外
"4985794376767041	","7395636880	",2024-1-2 18:00,他为啥不理我[悲伤],6737522570,芝心椰果-豚踢兔版,永远陪着朱志鑫长大(镇魂),10646,666,0,6393,海外
"4985794055373126	","7316459573	",2024-1-2 18:00,你为什么还不来@评论罗伯特,7316459573,厨子饼饼,镇魂,13,436,0,396,湖北 武汉
"4985794887158540	","6093412853	",2024-1-2 18:00,啊啊啊啊啊啊啊啊啊啊啊啊,5137910679,零度巴赫铉,CellBlack B（悄悄solo去种?版,3018,200,0,5601,海外
"4985794887158540	","6093412853	",2024-1-2 18:01,哲学家,7811840516,怎么蒸,我们一起晒太阳吧,19379,5153,0,31029,海外
"4985794887158540	","6093412853	",2024-1-2 18:02,这个癫子[微笑],7732989585,在第五十六章降临,光会永远照耀我们,10993,354,0,3491,其他
"4985794055373126	","7316459573	",2024-1-2 18:03,为是真人,7700566836,章鱼烧lgeju,记录幸福时刻,6,47,2,132,其他
"4985794887158540	","6093412853	",2024-1-2 18:03,真理[赞],7031799827,谱眠夜,小狗天下第一好?,11116,454,0,4489,四川
"4985794618196870	","7649804975	",2024-1-2 18:03,你谁啊改了id都不认识了,7843855226,theboyz李柱延,镇魂是什么 被李柱延药傻了所以讲话有点痴痴呆呆,105,319,0,3355,其他
"4985794887158540	","6093412853	",2024-1-2 18:03,笑得我好想死,7567530832,7_baek_m,有什么好看的 镇魂,4402,251,0,5501,其他
"4985794595128038	","7807546152	",2024-1-2 18:03,哈哈哈哈,7207343186,十三姨_jx,许上等愿 结中等缘 享下等福,76,197,0,429,其他
"4985794887158540	","6093412853	",2024-1-2 18:04,？[微笑],7436705656,别信页序,,11460,147,0,4713,其他
"4985794595128038	","7807546152	",2024-1-2 18:06,[嘻嘻][嘻嘻][嘻嘻],7629066189,nanSSW,体育狂热分子&小说迷,65,495,0,97,其他
"4985794887158540	","6093412853	",2024-1-2 18:06,把我笑的屁滚尿流,6911270337,cookiekee7-,賢.,1660,336,0,4350,海外
"4985794887158540	","6093412853	",2024-1-2 18:10,晚上好[打call],5537967608,钢铁是怎样炼成功的,把我融进祖国的山河。。,146119,20000,0,26050,北京
"4985794408219535	","7510855636	",2024-1-2 18:13,@评论罗伯特  私募东西你人呢[费解],7510855636,rap之星也有春天,你好你老公被我操了,273,738,0,10277,其他
"4985794595128038	","7807546152	",2024-1-2 18:14,我也没有,1713604763,顽瞳,白日梦专家,565,1710,0,1971,其他
"4985794595128038	","7807546152	",2024-1-2 18:23,哈哈哈他被艾特出来了哈哈哈[哈哈][哈哈][哈哈][允悲][允悲][允悲],7469911391,ThreeminutesGO,镇魂：嗑cp∝,62,194,1,11,其他
"4985794351860181	","3612595113	",2024-1-2 18:33,你是谁,5560393577,-粉蓝渐变厨-,#NAME?,515,796,0,8295,其他
"4985431676162908	","1863650912	",2024-1-2 18:35,笑死我了,5610576965,毛球球开心每一天,愿你永远平安喜乐,1124,350,0,3186,江苏 南京
"4985794595128038	","7807546152	",2024-1-2 18:43,哈哈哈哈哈，这到底是机器还是人？,1959463657,落落_幸福,做一个很哇噻的中年少女,94,233,0,339,江苏 苏州
"4985794595128038	","7807546152	",2024-1-2 18:47,我怕他以后看上你了[允悲],7805287069,落星o如雨,神神叨叨，慎关,42,266,0,627,北京 东城区
"4985794595128038	","7807546152	",2024-1-2 18:49,哈哈哈哈,2511321821,将将_SL,,43,362,0,595,黑龙江
"4985793831766591	","7800633940	",2024-1-2 18:49,新相方白白,7791157490,死别_,小雪童子求善待,146,251,0,2079,其他
"4985794055373126	","7316459573	",2024-1-2 19:03,她不理你,6895524731,养只腊肠狗,镇魂,12,173,0,1317,其他
"4985794828439955	","6413312558	",2024-1-2 19:15,它凭什么红了,6537900573,-申请麦麸-,已黑化 没事勿扰,12313,3821,0,4327,广西
"4985794595128038	","7807546152	",2024-1-2 20:09,这是机器人,3277930055,zjk倩倩,,83,785,0,1684,河北 张家口
"4985793862959748	","7749848183	",2024-1-2 20:11,@评论罗伯特：我会尽快给你回复的,7402946070,吃口茄子____,,552,600,0,99,北京 西城区
"4985794351860181	","3612595113	",2024-1-2 20:28,@评论罗伯特 为什么不理我,3612595113,謊言將真正的你逐漸隱沒,=鸟  //  同人女 狗嬷,366,358,0,9943,广东
"4985794376767041	","7395636880	",2024-1-2 20:33,没事后面我也红我也不找你玩,7831195810,录音机buss-和愧疚热恋版,视频来源于网络 侵删 ｜镇魂,21036,3972,0,3574,其他
"4985794595128038	","7807546152	",2024-1-2 22:04,我昨天发博被他抢了首评,5530739616,#NAME?,就是来磕CP的，夫夫的那种,87,555,0,703,其他
